blue_adc,blue_sup,red_adc,red_sup,games,blue_winrate
Ezreal,Alistar,Lucian,Bard,1,1.0
Ezreal,Alistar,Lucian,Milio,1,0.0
Ezreal,Alistar,Miss Fortune,Leona,1,0.0
Ezreal,Alistar,Miss Fortune,Rell,1,0.0
Ezreal,Alistar,Senna,Nautilus,1,1.0
Ezreal,Alistar,Sivir,Bard,1,0.0
Ezreal,Alistar,Sivir,Leona,1,1.0
Ezreal,Alistar,Sivir,Rell,1,0.0
Ezreal,Alistar,Varus,Leona,1,0.0
Ezreal,Alistar,Vladimir,Nautilus,1,1.0
Ezreal,Alistar,Yunara,Lulu,1,0.0
Ezreal,Alistar,Yunara,Neeko,1,1.0
Ezreal,Alistar,Yunara,Rell,1,1.0
Ezreal,Anivia,Ashe,Seraphine,1,1.0
Ezreal,Anivia,Caitlyn,Bard,1,0.0
Ezreal,Anivia,Jhin,Neeko,1,1.0
Ezreal,Anivia,Kai'Sa,Neeko,1,1.0
Ezreal,Anivia,Kalista,Neeko,1,1.0
Ezreal,Anivia,Varus,Rakan,1,1.0
Ezreal,Anivia,Yunara,Seraphine,1,1.0
Ezreal,Bard,Aphelios,Milio,1,1.0
Ezreal,Bard,Aphelios,Nautilus,1,0.0
Ezreal,Bard,Ashe,Leona,1,0.0
Ezreal,Bard,Ashe,Neeko,1,1.0
Ezreal,Bard,Caitlyn,Leona,1,1.0
Ezreal,Bard,Caitlyn,Neeko,1,1.0
Ezreal,Bard,Corki,Nautilus,1,1.0
Ezreal,Bard,Corki,Neeko,1,1.0
Ezreal,Bard,Corki,Pyke,1,1.0
Ezreal,Bard,Hwei,Camille,1,0.0
Ezreal,Bard,Jhin,Nautilus,1,0.0
Ezreal,Bard,Jhin,Pyke,1,1.0
Ezreal,Bard,Jhin,Rakan,1,1.0
Ezreal,Bard,Kai'Sa,Galio,1,1.0
Ezreal,Bard,Kai'Sa,Karma,1,1.0
Ezreal,Bard,Kalista,Seraphine,1,1.0
Ezreal,Bard,Miss Fortune,Karma,1,1.0
Ezreal,Bard,Miss Fortune,Rell,1,0.0
Ezreal,Bard,Sivir,Leona,1,1.0
Ezreal,Bard,Sivir,Neeko,1,1.0
Ezreal,Bard,Sivir,Poppy,1,1.0
Ezreal,Bard,Smolder,Karma,1,1.0
Ezreal,Bard,Smolder,Neeko,1,0.0
Ezreal,Bard,Smolder,Seraphine,1,1.0
Ezreal,Bard,Varus,Alistar,1,0.0
Ezreal,Bard,Varus,Leona,1,1.0
Ezreal,Bard,Varus,Skarner,1,1.0
Ezreal,Bard,Xayah,Nautilus,1,1.0
Ezreal,Bard,Xayah,Rell,1,1.0
Ezreal,Bard,Xayah,Thresh,1,1.0
Ezreal,Bard,Yasuo,Nautilus,1,0.0
Ezreal,Bard,Yunara,Leona,1,1.0
Ezreal,Bard,Yunara,Nami,1,0.0
Ezreal,Bard,Zeri,Neeko,1,1.0
Ezreal,Bard,Ziggs,Nautilus,1,1.0
Ezreal,Bard,Ziggs,Pyke,1,1.0
Ezreal,Blitzcrank,Aphelios,Thresh,1,1.0
Ezreal,Blitzcrank,Caitlyn,Bard,1,0.0
Ezreal,Blitzcrank,Miss Fortune,Rakan,1,0.0
Ezreal,Blitzcrank,Yunara,Karma,1,0.0
Ezreal,Braum,Aphelios,Thresh,1,0.0
Ezreal,Braum,Jhin,Nautilus,1,1.0
Ezreal,Braum,Kai'Sa,Alistar,1,0.0
Ezreal,Braum,Lucian,Milio,1,1.0
Ezreal,Braum,Sivir,Alistar,1,0.0
Ezreal,Braum,Sivir,Leona,1,0.0
Ezreal,Braum,Smolder,Nautilus,1,1.0
Ezreal,Braum,Yunara,Alistar,1,0.0
Ezreal,Braum,Yunara,Nautilus,1,1.0
Ezreal,Camille,Caitlyn,Karma,1,1.0
Ezreal,Camille,Lucian,Bard,1,1.0
Ezreal,Camille,Syndra,Shen,1,0.0
Ezreal,Camille,Ziggs,Nautilus,1,0.0
Ezreal,Camille,Ziggs,Pantheon,1,1.0
Ezreal,Elise,Draven,Rell,1,0.0
Ezreal,Elise,Jhin,Bard,1,1.0
Ezreal,Elise,Jhin,Neeko,1,0.0
Ezreal,Elise,Sivir,Neeko,1,0.0
Ezreal,Janna,Kai'Sa,Alistar,1,1.0
Ezreal,Jax,Ziggs,Camille,1,0.0
Ezreal,K'Sante,Senna,Nautilus,1,1.0
Ezreal,Karma,Aphelios,Lulu,1,1.0
Ezreal,Karma,Ashe,Heimerdinger,1,1.0
Ezreal,Karma,Ashe,Neeko,1,1.0
Ezreal,Karma,Caitlyn,Leona,1,1.0
Ezreal,Karma,Caitlyn,Nami,1,0.0
Ezreal,Karma,Corki,Anivia,1,1.0
Ezreal,Karma,Corki,Neeko,1,0.0
Ezreal,Karma,Jhin,Alistar,1,0.0
Ezreal,Karma,Jhin,Bard,1,1.0
Ezreal,Karma,Jhin,Leona,1,1.0
Ezreal,Karma,Jinx,Nautilus,1,0.0
Ezreal,Karma,Jinx,Thresh,1,1.0
Ezreal,Karma,Kai'Sa,Leona,1,1.0
Ezreal,Karma,Kai'Sa,Neeko,1,0.0
Ezreal,Karma,Kai'Sa,Pyke,1,1.0
Ezreal,Karma,Kai'Sa,Rakan,1,1.0
Ezreal,Karma,Kalista,Nautilus,1,1.0
Ezreal,Karma,Lucian,Sona,1,1.0
Ezreal,Karma,Lucian,Yuumi,1,0.0
Ezreal,Karma,Mel,Nautilus,1,1.0
Ezreal,Karma,Miss Fortune,Neeko,1,1.0
Ezreal,Karma,Samira,Rell,1,1.0
Ezreal,Karma,Senna,Nautilus,1,0.0
Ezreal,Karma,Sivir,Alistar,1,1.0
Ezreal,Karma,Sivir,Lulu,1,0.0
Ezreal,Karma,Sivir,Nami,1,1.0
Ezreal,Karma,Sivir,Rakan,1,1.0
Ezreal,Karma,Sivir,Rell,1,1.0
Ezreal,Karma,Syndra,Nautilus,1,0.0
Ezreal,Karma,Tristana,Lulu,1,1.0
Ezreal,Karma,Varus,Galio,1,1.0
Ezreal,Karma,Varus,Leona,1,1.0
Ezreal,Karma,Varus,Rakan,1,0.0
Ezreal,Karma,Varus,Rell,1,0.0
Ezreal,Karma,Varus,Soraka,1,0.0
Ezreal,Karma,Varus,Thresh,1,0.0
Ezreal,Karma,Yunara,Alistar,1,1.0
Ezreal,Karma,Yunara,Pyke,1,0.0
Ezreal,Karma,Yunara,Rakan,1,0.0
Ezreal,Karma,Yunara,Seraphine,1,1.0
Ezreal,Karma,Zeri,Nautilus,1,1.0
Ezreal,Karma,Zeri,Yuumi,1,1.0
Ezreal,Karma,Ziggs,Camille,1,1.0
Ezreal,Karma,Ziggs,Leona,1,1.0
Ezreal,Leona,Aphelios,Nautilus,1,0.0
Ezreal,Leona,Ashe,Alistar,1,0.0
Ezreal,Leona,Ashe,Taric,1,1.0
Ezreal,Leona,Ashe,Thresh,1,0.0
Ezreal,Leona,Brand,Nami,1,1.0
Ezreal,Leona,Caitlyn,Bard,1,0.0
Ezreal,Leona,Corki,Alistar,1,0.0
Ezreal,Leona,Corki,Bard,1,0.0
Ezreal,Leona,Corki,Nautilus,1,1.0
Ezreal,Leona,Corki,Rakan,1,0.0
Ezreal,Leona,Jinx,Braum,1,1.0
Ezreal,Leona,Kai'Sa,Bard,1,1.0
Ezreal,Leona,Kai'Sa,Neeko,1,0.0
Ezreal,Leona,Lucian,Alistar,1,0.0
Ezreal,Leona,Lucian,Rell,1,1.0
Ezreal,Leona,Miss Fortune,Rakan,1,1.0
Ezreal,Leona,Sivir,Bard,1,0.0
Ezreal,Leona,Sivir,Braum,1,1.0
Ezreal,Leona,Smolder,Bard,1,1.0
Ezreal,Leona,Smolder,Rakan,1,1.0
Ezreal,Leona,Tristana,Neeko,1,1.0
Ezreal,Leona,Varus,Neeko,1,1.0
Ezreal,Leona,Yunara,Lulu,1,1.0
Ezreal,Leona,Yunara,Nami,1,1.0
Ezreal,Leona,Yunara,Nautilus,1,1.0
Ezreal,Leona,Yunara,Rell,1,1.0
Ezreal,Leona,Ziggs,Bard,1,1.0
Ezreal,Leona,Ziggs,Shen,1,1.0
Ezreal,Lissandra,Varus,Rakan,1,1.0
Ezreal,Lulu,Corki,Nautilus,1,1.0
Ezreal,Lulu,Yunara,Nami,1,1.0
Ezreal,Nami,Corki,Leona,1,0.0
Ezreal,Nami,Jhin,Bard,1,1.0
Ezreal,Nami,Jinx,Karma,1,0.0
Ezreal,Nami,Kai'Sa,Karma,1,1.0
Ezreal,Nami,Kai'Sa,Leona,1,1.0
Ezreal,Nami,Kai'Sa,Nautilus,1,0.0
Ezreal,Nami,Kai'Sa,Neeko,1,0.0
Ezreal,Nami,Senna,Nautilus,1,1.0
Ezreal,Nami,Sivir,Anivia,1,0.0
Ezreal,Nami,Sivir,Bard,1,0.0
Ezreal,Nami,Sivir,Lulu,1,0.0
Ezreal,Nami,Sivir,Neeko,1,1.0
Ezreal,Nami,Smolder,Bard,1,1.0
Ezreal,Nami,Varus,Bard,1,1.0
Ezreal,Nami,Varus,Pyke,1,0.0
Ezreal,Nami,Varus,Soraka,1,1.0
Ezreal,Nautilus,Caitlyn,Elise,1,0.0
Ezreal,Nautilus,Caitlyn,Rell,1,1.0
Ezreal,Nautilus,Corki,Bard,1,1.0
Ezreal,Nautilus,Corki,Braum,1,1.0
Ezreal,Nautilus,Corki,Rell,1,1.0
Ezreal,Nautilus,Jhin,Alistar,1,0.0
Ezreal,Nautilus,Jhin,Leona,1,1.0
Ezreal,Nautilus,Kai'Sa,Alistar,1,0.0
Ezreal,Nautilus,Kai'Sa,Bard,1,1.0
Ezreal,Nautilus,Lucian,Leona,1,1.0
Ezreal,Nautilus,Lucian,Nami,1,0.0
Ezreal,Nautilus,Sivir,Seraphine,1,0.0
Ezreal,Nautilus,Varus,Braum,1,1.0
Ezreal,Nautilus,Varus,Karma,1,1.0
Ezreal,Nautilus,Xayah,Karma,1,1.0
Ezreal,Nautilus,Xayah,Lulu,1,0.0
Ezreal,Nautilus,Yunara,Bard,1,0.0
Ezreal,Nautilus,Yunara,Leona,1,0.0
Ezreal,Nautilus,Yunara,Neeko,1,1.0
Ezreal,Nautilus,Yunara,Rell,1,0.0
Ezreal,Nautilus,Zeri,Braum,1,1.0
Ezreal,Nautilus,Zeri,Pantheon,1,0.0
Ezreal,Nautilus,Ziggs,Leona,1,0.0
Ezreal,Neeko,Aphelios,Thresh,1,1.0
Ezreal,Neeko,Caitlyn,Annie,1,0.0
Ezreal,Neeko,Caitlyn,Elise,1,1.0
Ezreal,Neeko,Caitlyn,Morgana,1,0.0
Ezreal,Neeko,Caitlyn,Nami,1,0.0
Ezreal,Neeko,Caitlyn,Nautilus,1,1.0
Ezreal,Neeko,Corki,Alistar,1,1.0
Ezreal,Neeko,Jhin,Pyke,1,1.0
Ezreal,Neeko,Kai'Sa,Camille,1,0.0
Ezreal,Neeko,Kai'Sa,Nautilus,1,1.0
Ezreal,Neeko,Kai'Sa,Rell,1,1.0
Ezreal,Neeko,Sivir,Leona,1,0.0
Ezreal,Neeko,Sivir,Lulu,1,1.0
Ezreal,Neeko,Sivir,Rakan,1,0.0
Ezreal,Neeko,Smolder,Karma,1,1.0
Ezreal,Neeko,Varus,Alistar,1,1.0
Ezreal,Neeko,Varus,Leona,1,1.0
Ezreal,Neeko,Xayah,Rakan,1,0.0
Ezreal,Neeko,Yunara,Alistar,1,1.0
Ezreal,Neeko,Yunara,Bard,1,1.0
Ezreal,Neeko,Yunara,Karma,1,1.0
Ezreal,Neeko,Yunara,Nautilus,1,0.0
Ezreal,Poppy,Corki,Nautilus,1,0.0
Ezreal,Poppy,Jhin,Leona,1,0.0
Ezreal,Poppy,Kai'Sa,Leona,1,1.0
Ezreal,Poppy,Kalista,Renata Glasc,1,1.0
Ezreal,Poppy,Sivir,Alistar,1,0.0
Ezreal,Poppy,Sivir,Rakan,1,0.0
Ezreal,Poppy,Varus,Rell,1,1.0
Ezreal,Pyke,Ashe,Lulu,1,1.0
Ezreal,Pyke,Caitlyn,Nami,1,1.0
Ezreal,Pyke,Jhin,Bard,1,1.0
Ezreal,Pyke,Jhin,Neeko,1,1.0
Ezreal,Pyke,Sivir,Seraphine,1,0.0
Ezreal,Pyke,Smolder,Lulu,1,0.0
Ezreal,Pyke,Varus,Nautilus,1,0.0
Ezreal,Rakan,Ashe,Rell,1,1.0
Ezreal,Rakan,Ashe,Seraphine,1,0.0
Ezreal,Rakan,Caitlyn,Nami,1,0.0
Ezreal,Rakan,Corki,Leona,1,1.0
Ezreal,Rakan,Corki,Nautilus,1,0.0
Ezreal,Rakan,Corki,Rell,1,1.0
Ezreal,Rakan,Jhin,Karma,1,1.0
Ezreal,Rakan,Jhin,Rell,1,0.0
Ezreal,Rakan,Kai'Sa,Alistar,1,0.0
Ezreal,Rakan,Kai'Sa,Karma,1,1.0
Ezreal,Rakan,Kai'Sa,Nautilus,1,1.0
Ezreal,Rakan,Lucian,Milio,1,0.0
Ezreal,Rakan,Lucian,Nami,1,0.0
Ezreal,Rakan,Sivir,Alistar,1,0.0
Ezreal,Rakan,Sivir,Lulu,1,0.0
Ezreal,Rakan,Sivir,Neeko,1,0.0
Ezreal,Rakan,Varus,Alistar,1,0.0
Ezreal,Rakan,Varus,Rell,1,0.0
Ezreal,Rakan,Vayne,Karma,1,1.0
Ezreal,Rakan,Xayah,Alistar,1,0.0
Ezreal,Rakan,Yunara,Bard,1,0.0
Ezreal,Rakan,Yunara,Rell,1,0.0
Ezreal,Rell,Ashe,Rakan,1,0.0
Ezreal,Rell,Ashe,Seraphine,1,0.0
Ezreal,Rell,Caitlyn,Nautilus,1,1.0
Ezreal,Rell,Caitlyn,Neeko,1,0.0
Ezreal,Rell,Corki,Rakan,1,1.0
Ezreal,Rell,Jhin,Karma,1,1.0
Ezreal,Rell,Kai'Sa,Alistar,1,1.0
Ezreal,Rell,Kai'Sa,Bard,1,0.0
Ezreal,Rell,Kai'Sa,Rakan,1,0.0
Ezreal,Rell,Mel,Camille,1,1.0
Ezreal,Rell,Sivir,Nautilus,1,0.0
Ezreal,Rell,Varus,Karma,1,0.0
Ezreal,Rell,Varus,Neeko,1,1.0
Ezreal,Rell,Varus,Rakan,1,0.0
Ezreal,Rell,Yunara,Bard,1,0.0
Ezreal,Rell,Yunara,Karma,1,1.0
Ezreal,Rell,Yunara,Lulu,1,0.0
Ezreal,Rell,Yunara,Nautilus,1,1.0
Ezreal,Rell,Ziggs,Nautilus,1,0.0
Ezreal,Senna,Yunara,Rakan,1,1.0
Ezreal,Seraphine,Aphelios,Leona,1,0.0
Ezreal,Seraphine,Ashe,Braum,1,1.0
Ezreal,Seraphine,Ashe,Mel,1,0.0
Ezreal,Seraphine,Ashe,Milio,1,0.0
Ezreal,Seraphine,Ashe,Nautilus,1,1.0
Ezreal,Seraphine,Ashe,Rell,1,0.0
Ezreal,Seraphine,Ashe,Senna,1,0.0
Ezreal,Seraphine,Caitlyn,Anivia,1,0.0
Ezreal,Seraphine,Caitlyn,Bard,1,0.0
Ezreal,Seraphine,Caitlyn,Karma,1,0.0
Ezreal,Seraphine,Corki,Braum,1,0.0
Ezreal,Seraphine,Jinx,Karma,1,1.0
Ezreal,Seraphine,Kai'Sa,Shen,1,0.0
Ezreal,Seraphine,Mel,Camille,1,0.0
Ezreal,Seraphine,Mel,Pantheon,1,0.0
Ezreal,Seraphine,Miss Fortune,Neeko,1,0.0
Ezreal,Seraphine,Sivir,Yuumi,1,1.0
Ezreal,Shaco,Yunara,Lulu,1,1.0
Ezreal,Shen,Jhin,Camille,1,0.0
Ezreal,Shen,Kai'Sa,Alistar,1,0.0
Ezreal,Shen,Syndra,Camille,1,0.0
Ezreal,Skarner,Caitlyn,Bard,1,1.0
Ezreal,Tahm Kench,Kai'Sa,Leona,1,0.0
Ezreal,Tahm Kench,Miss Fortune,Karma,1,0.0
Ezreal,Yuumi,Jhin,Rakan,1,0.0
Ezreal,Yuumi,Sivir,Neeko,1,1.0
Ezreal,Yuumi,Varus,Karma,1,0.0
Ezreal,Zyra,Kai'Sa,Rakan,1,0.0
Hwei,Leona,Lucian,Braum,1,0.0
Hwei,Nautilus,Ezreal,Bard,1,0.0
Hwei,Rakan,Ziggs,Alistar,1,1.0
Hwei,Rell,Sivir,Alistar,1,0.0
Jhin,Alistar,Ashe,Nautilus,1,0.0
Jhin,Alistar,Caitlyn,Bard,1,0.0
Jhin,Alistar,Caitlyn,Elise,1,1.0
Jhin,Alistar,Caitlyn,Nautilus,1,1.0
Jhin,Alistar,Ezreal,Rakan,1,1.0
Jhin,Alistar,Kai'Sa,Neeko,1,1.0
Jhin,Alistar,Kalista,Poppy,1,1.0
Jhin,Alistar,Kalista,Taric,1,1.0
Jhin,Alistar,Sivir,Nautilus,1,1.0
Jhin,Alistar,Varus,Galio,1,1.0
Jhin,Alistar,Varus,Nautilus,1,1.0
Jhin,Alistar,Varus,Neeko,1,1.0
Jhin,Alistar,Varus,Rakan,1,0.0
Jhin,Alistar,Varus,Thresh,1,1.0
Jhin,Alistar,Yunara,Neeko,1,0.0
Jhin,Amumu,Caitlyn,Bard,1,1.0
Jhin,Anivia,Caitlyn,Bard,1,0.0
Jhin,Anivia,Caitlyn,Nami,1,1.0
Jhin,Anivia,Corki,Nami,1,0.0
Jhin,Anivia,Ezreal,Bard,1,0.0
Jhin,Anivia,Ezreal,Rakan,1,1.0
Jhin,Anivia,Jinx,Karma,1,1.0
Jhin,Bard,Ashe,Karma,1,1.0
Jhin,Bard,Ashe,Leona,1,0.0
Jhin,Bard,Caitlyn,Elise,1,0.0
Jhin,Bard,Caitlyn,Leona,1,1.0
Jhin,Bard,Caitlyn,Milio,1,1.0
Jhin,Bard,Caitlyn,Seraphine,1,1.0
Jhin,Bard,Caitlyn,Thresh,1,0.0
Jhin,Bard,Corki,Alistar,1,1.0
Jhin,Bard,Corki,Blitzcrank,1,1.0
Jhin,Bard,Ezreal,Nami,1,0.0
Jhin,Bard,Ezreal,Pyke,1,1.0
Jhin,Bard,Kai'Sa,Alistar,1,1.0
Jhin,Bard,Kai'Sa,Neeko,1,0.0
Jhin,Bard,Kai'Sa,Pyke,1,0.0
Jhin,Bard,Lucian,Milio,1,0.0
Jhin,Bard,Lucian,Nami,1,0.0
Jhin,Bard,Mel,Camille,1,1.0
Jhin,Bard,Mel,Pyke,1,0.0
Jhin,Bard,Miss Fortune,Rell,1,1.0
Jhin,Bard,Nilah,Senna,1,1.0
Jhin,Bard,Samira,Rell,1,0.0
Jhin,Bard,Sivir,Karma,1,1.0
Jhin,Bard,Sivir,Neeko,1,1.0
Jhin,Bard,Varus,Anivia,1,1.0
Jhin,Bard,Varus,Camille,1,1.0
Jhin,Bard,Varus,Karma,1,0.0
Jhin,Bard,Varus,Rakan,1,0.0
Jhin,Bard,Xayah,Rakan,1,1.0
Jhin,Bard,Yunara,Nautilus,1,1.0
Jhin,Bard,Yunara,Seraphine,1,1.0
Jhin,Bard,Ziggs,Pyke,1,1.0
Jhin,Blitzcrank,Ashe,Seraphine,1,0.0
Jhin,Blitzcrank,Caitlyn,Bard,1,0.0
Jhin,Blitzcrank,Corki,Bard,1,0.0
Jhin,Blitzcrank,Ezreal,Karma,1,1.0
Jhin,Blitzcrank,Kai'Sa,Poppy,1,0.0
Jhin,Blitzcrank,Kai'Sa,Pyke,1,0.0
Jhin,Braum,Caitlyn,Nautilus,1,1.0
Jhin,Braum,Corki,Nautilus,1,0.0
Jhin,Braum,Corki,Rell,1,0.0
Jhin,Camille,Corki,Neeko,1,0.0
Jhin,Camille,Ezreal,Anivia,1,1.0
Jhin,Camille,Ezreal,Leona,1,0.0
Jhin,Camille,Ezreal,Nautilus,1,1.0
Jhin,Camille,Miss Fortune,Bard,1,1.0
Jhin,Camille,Syndra,Leona,1,0.0
Jhin,Camille,Taliyah,Leona,1,0.0
Jhin,Camille,Yunara,Lulu,1,1.0
Jhin,Camille,Ziggs,Nautilus,1,1.0
Jhin,Camille,Ziggs,Rakan,1,0.0
Jhin,Camille,Ziggs,Shen,1,0.0
Jhin,Elise,Caitlyn,Bard,1,0.0
Jhin,Elise,Sivir,Bard,1,0.0
Jhin,Karma,Caitlyn,Anivia,1,1.0
Jhin,Karma,Caitlyn,Milio,1,1.0
Jhin,Karma,Caitlyn,Nautilus,1,0.0
Jhin,Karma,Caitlyn,Seraphine,1,1.0
Jhin,Karma,Corki,Bard,1,0.0
Jhin,Karma,Corki,Rell,1,0.0
Jhin,Karma,Ezreal,Alistar,1,1.0
Jhin,Karma,Ezreal,Anivia,1,0.0
Jhin,Karma,Ezreal,Elise,1,0.0
Jhin,Karma,Ezreal,Leona,1,0.0
Jhin,Karma,Ezreal,Yuumi,1,1.0
Jhin,Karma,Jinx,Neeko,1,0.0
Jhin,Karma,Lucian,Neeko,1,1.0
Jhin,Karma,Mel,Nautilus,1,1.0
Jhin,Karma,Miss Fortune,Nautilus,1,1.0
Jhin,Karma,Miss Fortune,Rell,1,1.0
Jhin,Karma,Senna,Alistar,1,1.0
Jhin,Karma,Sivir,Amumu,1,1.0
Jhin,Karma,Sivir,Lulu,1,0.0
Jhin,Karma,Varus,Alistar,1,1.0
Jhin,Karma,Xayah,Rakan,1,0.0
Jhin,Karma,Yunara,Nami,1,0.0
Jhin,Karma,Yunara,Rakan,1,1.0
Jhin,Leona,Ashe,Seraphine,1,1.0
Jhin,Leona,Caitlyn,Bard,1,1.0
Jhin,Leona,Caitlyn,Soraka,1,0.0
Jhin,Leona,Corki,Neeko,1,1.0
Jhin,Leona,Ezreal,Camille,1,1.0
Jhin,Leona,Ezreal,Karma,1,1.0
Jhin,Leona,Seraphine,Braum,1,0.0
Jhin,Leona,Sivir,Bard,1,0.0
Jhin,Leona,Sivir,Neeko,1,0.0
Jhin,Lux,Caitlyn,Leona,1,0.0
Jhin,Maokai,Lucian,Nami,1,0.0
Jhin,Nami,Ezreal,Neeko,1,0.0
Jhin,Nautilus,Caitlyn,Karma,1,1.0
Jhin,Nautilus,Caitlyn,Leona,1,0.0
Jhin,Nautilus,Corki,Bard,1,0.0
Jhin,Nautilus,Corki,Leona,1,0.0
Jhin,Nautilus,Corki,Neeko,1,1.0
Jhin,Nautilus,Corki,Rell,1,1.0
Jhin,Nautilus,Ezreal,Bard,1,0.0
Jhin,Nautilus,Ezreal,Karma,1,1.0
Jhin,Nautilus,Ezreal,Leona,1,1.0
Jhin,Nautilus,Ezreal,Rell,1,0.0
Jhin,Nautilus,Kai'Sa,Karma,1,1.0
Jhin,Nautilus,Miss Fortune,Alistar,1,0.0
Jhin,Nautilus,Sivir,Bard,1,0.0
Jhin,Nautilus,Sivir,Neeko,1,0.0
Jhin,Nautilus,Sivir,Rell,1,0.0
Jhin,Nautilus,Tristana,Bard,1,1.0
Jhin,Nautilus,Tristana,Rell,1,1.0
Jhin,Nautilus,Varus,Alistar,1,0.0
Jhin,Nautilus,Varus,Neeko,1,1.0
Jhin,Nautilus,Vayne,Bard,1,1.0
Jhin,Nautilus,Xayah,Rell,1,0.0
Jhin,Nautilus,Yunara,Lulu,1,1.0
Jhin,Nautilus,Ziggs,Shen,1,1.0
Jhin,Neeko,Caitlyn,Elise,1,1.0
Jhin,Neeko,Caitlyn,Nautilus,1,1.0
Jhin,Neeko,Corki,Alistar,1,0.0
Jhin,Neeko,Ezreal,Bard,1,0.0
Jhin,Neeko,Ezreal,Nautilus,1,0.0
Jhin,Neeko,Kai'Sa,Alistar,1,0.0
Jhin,Neeko,Kai'Sa,Rell,1,0.0
Jhin,Neeko,Senna,Alistar,1,0.0
Jhin,Neeko,Sivir,Bard,1,1.0
Jhin,Neeko,Varus,Karma,1,1.0
Jhin,Neeko,Varus,Leona,1,1.0
Jhin,Neeko,Varus,Rakan,1,1.0
Jhin,Neeko,Xayah,Leona,1,0.0
Jhin,Neeko,Yunara,Bard,1,0.0
Jhin,Neeko,Yunara,Karma,1,0.0
Jhin,Neeko,Yunara,Lulu,1,1.0
Jhin,Neeko,Zeri,Bard,1,0.0
Jhin,Neeko,Ziggs,Bard,1,1.0
Jhin,Neeko,Ziggs,Rell,1,1.0
Jhin,Poppy,Mel,Seraphine,1,1.0
Jhin,Poppy,Miss Fortune,Alistar,1,1.0
Jhin,Poppy,Miss Fortune,Leona,1,0.0
Jhin,Poppy,Xayah,Rakan,1,0.0
Jhin,Poppy,Zeri,Rell,1,0.0
Jhin,Poppy,Ziggs,Camille,1,0.0
Jhin,Pyke,Corki,Bard,1,0.0
Jhin,Pyke,Taliyah,Shen,1,0.0
Jhin,Rakan,Ashe,Seraphine,1,0.0
Jhin,Rakan,Caitlyn,Karma,1,0.0
Jhin,Rakan,Caitlyn,Nautilus,1,1.0
Jhin,Rakan,Caitlyn,Neeko,1,1.0
Jhin,Rakan,Ezreal,Nautilus,1,0.0
Jhin,Rakan,Kai'Sa,Leona,1,1.0
Jhin,Rakan,Smolder,Karma,1,1.0
Jhin,Rakan,Tristana,Alistar,1,1.0
Jhin,Rakan,Varus,Lulu,1,0.0
Jhin,Rakan,Varus,Renata Glasc,1,0.0
Jhin,Rakan,Xayah,Alistar,1,0.0
Jhin,Rakan,Yunara,Bard,1,0.0
Jhin,Rakan,Yunara,Lulu,1,1.0
Jhin,Rell,Aphelios,Alistar,1,1.0
Jhin,Rell,Ashe,Alistar,1,1.0
Jhin,Rell,Ashe,Camille,1,0.0
Jhin,Rell,Ashe,Lulu,1,1.0
Jhin,Rell,Ashe,Seraphine,1,0.0
Jhin,Rell,Corki,Nautilus,1,1.0
Jhin,Rell,Ezreal,Camille,1,0.0
Jhin,Rell,Ezreal,Leona,1,0.0
Jhin,Rell,Ezreal,Neeko,1,0.0
Jhin,Rell,Ezreal,Rakan,1,0.0
Jhin,Rell,Smolder,Bard,1,1.0
Jhin,Rell,Tristana,Alistar,1,0.0
Jhin,Rell,Varus,Bard,1,0.0
Jhin,Rell,Varus,Braum,1,0.0
Jhin,Rell,Varus,Rakan,1,0.0
Jhin,Rell,Yunara,Alistar,1,0.0
Jhin,Rell,Zeri,Lulu,1,0.0
Jhin,Rell,Zeri,Yuumi,1,0.0
Jhin,Rumble,Caitlyn,Leona,1,1.0
Jhin,Seraphine,Ashe,Rakan,1,0.0
Jhin,Seraphine,Caitlyn,Elise,1,1.0
Jhin,Seraphine,Lucian,Nami,1,1.0
Jhin,Seraphine,Mel,Leona,1,0.0
Jhin,Shen,Ashe,Seraphine,1,1.0
Jhin,Shen,Vayne,Nautilus,1,0.0
Jhin,Trundle,Ezreal,Leona,1,0.0
Jinx,Alistar,Aphelios,Nautilus,1,1.0
Jinx,Alistar,Caitlyn,Karma,1,1.0
Jinx,Alistar,Jhin,Rell,1,1.0
Jinx,Alistar,Kai'Sa,Rakan,1,0.0
Jinx,Alistar,Varus,Rell,1,0.0
Jinx,Alistar,Yunara,Neeko,1,1.0
Jinx,Alistar,Yunara,Rell,1,0.0
Jinx,Anivia,Ashe,Seraphine,1,1.0
Jinx,Bard,Corki,Nami,1,1.0
Jinx,Blitzcrank,Aphelios,Lulu,1,1.0
Jinx,Braum,Aphelios,Nautilus,1,0.0
Jinx,Braum,Ashe,Seraphine,1,0.0
Jinx,Braum,Ezreal,Poppy,1,1.0
Jinx,Braum,Kai'Sa,Rell,1,1.0
Jinx,Braum,Kai'Sa,Renata Glasc,1,0.0
Jinx,Braum,Yunara,Bard,1,0.0
Jinx,Braum,Ziggs,Nautilus,1,1.0
Jinx,Karma,Yunara,Lulu,1,1.0
Jinx,Leona,Aphelios,Rell,1,0.0
Jinx,Leona,Aphelios,Thresh,1,1.0
Jinx,Leona,Sivir,Braum,1,1.0
Jinx,Leona,Zeri,Karma,1,0.0
Jinx,Lulu,Aphelios,Blitzcrank,1,0.0
Jinx,Lulu,Aphelios,Milio,1,1.0
